Date,SPY
2023-03-08,381.44085693359375
2023-03-09,374.40338134765625
2023-03-10,369.00091552734375
2023-03-13,368.47503662109375
2023-03-14,374.5658874511719
2023-03-15,372.22332763671875
2023-03-16,378.75396728515625
2023-03-17,374.32537841796875
2023-03-20,377.9246826171875
2023-03-21,382.8870849609375
2023-03-22,376.3602294921875
2023-03-23,377.3776550292969
2023-03-24,379.85394287109375
2023-03-27,380.5642395019531
2023-03-28,379.7099914550781
2023-03-29,385.22906494140625
2023-03-30,387.4846496582031
2023-03-31,392.94610595703125
2023-04-03,394.4434814453125
2023-04-04,392.25506591796875
2023-04-05,391.22802734375
2023-04-06,392.754150390625
2023-04-10,393.1572570800781
2023-04-11,393.26287841796875
2023-04-12,391.659912109375
2023-04-13,396.86224365234375
2023-04-14,395.892822265625
2023-04-17,397.3133544921875
2023-04-18,397.57244873046875
2023-04-19,397.50531005859375
2023-04-20,395.3360595703125
2023-04-21,395.64324951171875
2023-04-24,396.0559387207031
2023-04-25,389.76904296875
2023-04-26,388.1181640625
2023-04-27,395.84478759765625
2023-04-28,399.22344970703125
2023-05-01,398.8203125
2023-05-02,394.3379211425781
2023-05-03,391.6310729980469
2023-05-04,388.8572082519531
2023-05-05,396.0559387207031
2023-05-08,396.1615905761719
2023-05-09,394.4242248535156
2023-05-10,396.2671813964844
2023-05-11,395.5760803222656
2023-05-12,395.0577392578125
2023-05-15,396.4206848144531
2023-05-16,393.77154541015625
2023-05-17,398.5515441894531
2023-05-18,402.3908386230469
2023-05-19,401.8053894042969
2023-05-22,401.9685363769531
2023-05-23,397.4573974609375
2023-05-24,394.57781982421875
2023-05-25,397.99481201171875
2023-05-26,403.149169921875
2023-05-30,403.3027038574219
2023-05-31,401.0663146972656
2023-06-01,404.8768615722656
2023-06-02,410.7318420410156
2023-06-05,409.9447326660156
2023-06-06,410.83740234375
2023-06-07,409.4168395996094
2023-06-08,411.89324951171875
2023-06-09,412.63232421875
2023-06-12,416.3756408691406
2023-06-13,419.1208190917969
2023-06-14,419.619873046875
2023-06-15,424.8221740722656
2023-06-16,423.3750915527344
2023-06-20,421.1785888671875
2023-06-21,419.0205993652344
2023-06-22,420.5331726074219
2023-06-23,417.3539123535156
2023-06-26,415.6487121582031
2023-06-27,420.20556640625
2023-06-28,420.41754150390625
2023-06-29,422.0745544433594
2023-06-30,427.05535888671875
2023-07-03,427.54669189453125
2023-07-05,426.910888671875
2023-07-06,423.5678405761719
2023-07-07,422.49847412109375
2023-07-10,423.5678405761719
2023-07-11,426.26531982421875
2023-07-12,429.6950378417969
2023-07-13,433.1054992675781
2023-07-14,432.83575439453125
2023-07-17,434.33868408203125
2023-07-18,437.56597900390625
2023-07-19,438.5390625
2023-07-20,435.6296081542969
2023-07-21,435.6296081542969
2023-07-24,437.5756530761719
2023-07-25,438.7702941894531
2023-07-26,438.83770751953125
2023-07-27,435.9282531738281
2023-07-28,440.19610595703125
2023-07-31,441.0343017578125
2023-08-01,439.77215576171875
2023-08-02,433.65460205078125
2023-08-03,432.41180419921875
2023-08-04,430.4561462402344
2023-08-07,434.21337890625
2023-08-08,432.3251647949219
2023-08-09,429.4349365234375
2023-08-10,429.5890808105469
2023-08-11,429.3385925292969
2023-08-14,431.7085266113281
2023-08-15,426.6796569824219
2023-08-16,423.548583984375
2023-08-17,420.32122802734375
2023-08-18,420.52349853515625
2023-08-21,423.2595520019531
2023-08-22,422.1131286621094
2023-08-23,426.814453125
2023-08-24,420.89923095703125
2023-08-25,423.866455078125
2023-08-28,426.5543518066406
2023-08-29,432.7200927734375
2023-08-30,434.50238037109375
2023-08-31,433.86651611328125
2023-09-01,434.6757507324219
2023-09-05,432.7971496582031
2023-09-06,429.8876647949219
2023-09-07,428.56793212890625
2023-09-08,429.21337890625
2023-09-11,432.0361328125
2023-09-12,429.66607666015625
2023-09-13,430.16705322265625
2023-09-14,433.8761291503906
2023-09-15,428.64874267578125
2023-09-18,428.90008544921875
2023-09-19,428.01055908203125
2023-09-20,424.0758056640625
2023-09-21,417.0664978027344
2023-09-22,416.12872314453125
2023-09-25,417.87860107421875
2023-09-26,411.7394104003906
2023-09-27,411.90374755859375
2023-09-28,414.291748046875
2023-09-29,413.286376953125
2023-10-02,413.1219177246094
2023-10-03,407.59185791015625
2023-10-04,410.5599670410156
2023-10-05,410.4052734375
2023-10-06,415.2779846191406
2023-10-09,417.93658447265625
2023-10-10,420.1119079589844
2023-10-11,421.8327941894531
2023-10-12,419.2610778808594
2023-10-13,417.1728210449219
2023-10-16,421.56207275390625
2023-10-17,421.5427551269531
2023-10-18,415.9256896972656
2023-10-19,412.2711486816406
2023-10-20,407.2051696777344
2023-10-23,406.4993591308594
2023-10-24,409.5641784667969
2023-10-25,403.68603515625
2023-10-26,398.8520812988281
2023-10-27,397.0440979003906
2023-10-30,401.7911071777344
2023-10-31,404.314453125
2023-11-01,408.6263427734375
2023-11-02,416.4574279785156
2023-11-03,420.2569580078125
2023-11-06,421.2237243652344
2023-11-07,422.42254638671875
2023-11-08,422.73193359375
2023-11-09,419.4351501464844
2023-11-10,425.9803466796875
2023-11-13,425.57427978515625
2023-11-14,433.83074951171875
2023-11-15,434.7491455078125
2023-11-16,435.28094482421875
2023-11-17,435.82232666015625
2023-11-20,439.1771240234375
2023-11-21,438.2200012207031
2023-11-22,439.91192626953125
2023-11-24,440.18255615234375
2023-11-27,439.38983154296875
2023-11-28,439.8248596191406
2023-11-29,439.5155334472656
2023-11-30,441.24609375
2023-12-01,443.85638427734375
2023-12-04,441.5264892578125
2023-12-05,441.43939208984375
2023-12-06,439.6605529785156
2023-12-07,443.0152893066406
2023-12-08,444.919921875
2023-12-11,446.6504211425781
2023-12-12,448.6903991699219
2023-12-13,454.8779296875
2023-12-14,456.3377380371094
2023-12-15,455.58642578125
2023-12-18,458.1491394042969
2023-12-19,460.9350891113281
2023-12-20,454.5478210449219
2023-12-21,458.8577575683594
2023-12-22,459.7799072265625
2023-12-26,461.72137451171875
2023-12-27,462.55615234375
2023-12-28,462.7309265136719
2023-12-29,461.3913269042969
