Date,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,MCD,META,MRK,MSFT,NKE,NVDA,PEP,PG,T,V,VZ,WMT,XOM
2020-06-01,77.90604400634766,71.06434631347656,389.67999267578125,123.552001953125,21.146108627319336,281.8527526855469,173.36077880859375,38.71187210083008,71.52586364746094,115.15501403808594,71.11293029785156,212.29598999023438,55.144676208496094,124.59793853759766,83.78386688232422,38.9123649597168,290.82794189453125,163.20936584472656,229.89120483398438,62.38420867919922,173.7787322998047,90.88218688964844,8.761645317077637,109.3669662475586,100.01960754394531,15.370198249816895,186.09400939941406,38.51447677612305,38.15607833862305,35.73711013793945
2020-06-02,78.26670837402344,71.33076477050781,390.44000244140625,123.62049865722656,21.34373664855957,280.7556457519531,171.26698303222656,39.20518112182617,72.99044799804688,115.13563537597656,71.48164367675781,216.94894409179688,55.376441955566406,125.49522399902344,84.06427001953125,38.83783721923828,292.9411926269531,163.36614990234375,230.6941680908203,63.38787078857422,175.7557373046875,91.97779846191406,8.780550003051758,109.07090759277344,100.71057891845703,15.400019645690918,188.0186004638672,38.94257354736328,38.1499137878418,36.532474517822266
2020-06-03,78.69757080078125,71.21321868896484,389.9200134277344,123.91999816894531,22.331867218017578,280.34423828125,172.01406860351562,39.24699020385742,74.90982818603516,118.46122741699219,71.33000183105469,216.76763916015625,55.207069396972656,125.83385467529297,88.60186004638672,39.66593551635742,296.2991027832031,168.33001708984375,228.15643310546875,64.34449005126953,176.1834716796875,95.05469512939453,8.725082397460938,109.2271728515625,101.11148834228516,15.658419609069824,188.5069122314453,39.239479064941406,38.00524139404297,38.022804260253906
2020-06-04,78.0197982788086,72.89777374267578,385.79998779296875,123.02999877929688,23.171154022216797,284.10174560546875,168.5244598388672,39.18010330200195,74.21607208251953,119.9252700805664,70.09346008300781,214.99720764160156,56.134178161621094,124.20854187011719,90.44578552246094,39.682491302490234,290.7990417480469,168.28648376464844,224.32012939453125,63.944580078125,173.86427307128906,92.47083282470703,8.72607707977295,108.21029663085938,98.99595642089844,15.802531242370605,185.4141082763672,39.50876235961914,37.586631774902344,37.914695739746094
2020-06-05,80.24188232421875,73.53241729736328,392.8999938964844,124.1500015258789,24.321922302246094,285.28118896484375,170.92295837402344,39.991127014160156,77.70794677734375,121.02088165283203,71.3681640625,220.1356964111328,57.35544967651367,124.6910171508789,94.51602172851562,40.651371002197266,300.9404602050781,171.70033264160156,228.7611083984375,64.5013198852539,177.9324188232422,93.77645874023438,8.87886905670166,109.76004791259766,100.94088745117188,16.284557342529297,191.13052368164062,39.867801666259766,37.417327880859375,40.98802947998047
2020-06-08,80.71630859375,74.1122055053711,397.7799987792969,126.2030029296875,24.69398307800293,280.8470764160156,173.5475311279297,40.241947174072266,79.58106231689453,123.40599822998047,71.76563262939453,221.75064086914062,56.75818634033203,124.24238586425781,96.40243530273438,41.28071594238281,299.5220031738281,176.48138427734375,229.38565063476562,65.00313568115234,179.03492736816406,95.2190170288086,8.76440143585205,109.56942749023438,101.55509185791016,16.51314926147461,191.1209716796875,40.109474182128906,37.3188362121582,42.26986312866211
2020-06-09,83.26520538330078,75.35016632080078,397.1600036621094,130.04299926757812,24.41709327697754,279.3475646972656,171.5913848876953,40.17505645751953,78.26295471191406,120.11917877197266,71.96585845947266,221.7420654296875,56.196571350097656,123.55670166015625,93.92969512939453,40.57684326171875,300.5639953613281,173.75555419921875,236.59234619140625,64.5013198852539,180.4036407470703,93.70341491699219,9.004287719726562,110.19928741455078,100.94941711425781,16.210023880004883,190.6230010986328,39.950660705566406,37.352691650390625,41.32778549194336
2020-06-10,85.40736389160156,75.922119140625,406.82000732421875,132.37249755859375,23.015411376953125,280.9749755859375,179.00314331054688,39.648319244384766,75.2181625366211,118.46122741699219,72.59131622314453,219.7470703125,56.93647003173828,125.11434173583984,90.12290954589844,40.26216506958008,302.16583251953125,170.51589965820312,234.6692352294922,64.11708068847656,187.0951385498047,93.23777770996094,9.323559761047363,111.1606216430664,101.7086410522461,15.971490859985352,191.96351623535156,40.08185958862305,37.29420471191406,39.11159896850586
2020-06-11,81.30693054199219,72.28663635253906,387.6700134277344,127.89800262451172,20.705217361450195,275.0323791503906,169.1240692138672,36.512908935546875,68.88958740234375,109.21159362792969,69.47891235351562,206.81011962890625,53.21915054321289,119.24798583984375,82.60273742675781,37.71162414550781,281.0340576171875,163.29644775390625,222.47628784179688,60.651283264160156,177.04844665527344,86.89226531982422,8.755688667297363,105.94779205322266,99.1750717163086,14.99252986907959,180.8563690185547,38.977088928222656,36.96485900878906,35.65989685058594
2020-06-12,82.00889587402344,72.44335174560547,406.5400085449219,127.2509994506836,21.440671920776367,273.08514404296875,172.1320343017578,37.6834602355957,71.21751403808594,111.97484588623047,70.02507781982422,209.38368225097656,52.889320373535156,120.33147430419922,84.86305236816406,38.1043586730957,287.3445739746094,164.74209594726562,226.5901641845703,60.30355453491211,178.44561767578125,88.04267883300781,8.89130973815918,106.90914154052734,98.629150390625,15.156517028808594,184.0927276611328,39.03232955932617,36.24148941040039,36.42436218261719
